id,name,followers,popularity,genres,main_genre
0E4q1wpuPwtqbDr6Okw304,OVN,5452,33,"['jazz beats', 'lo-fi beats', 'lo-fi']",Electronic
2KXSm6sLmPwUCXpq4OrHHZ,Summer Cannibals,15323,21,"['indie punk', 'riot grrrl']",Rock
5pYeD8r1vE9mMyA9qAs7qk,Kath Bee,3604,31,"[""children's music""]",Folk
6e8DrBevl7KCm0Kfse6fvB,Bullet,21573,33,"['heavy metal', 'speed metal']",Rock
35844Qnlihy0XsZ2zzVljT,Medlar,4427,24,[],Electronic
5R1KD32YuMNzZszCHlZsHg,chrln,1764,26,[],Electronic
20sWZcEcz8FNoLZVgNNyMx,Wet Cactus,14076,25,"['stoner rock', 'stoner metal', 'space rock', 'sludge metal', 'psychedelic rock']",Rock
5kmoYyMrsDofR5g3tkHJq7,Olicolor,17,7,[],Hip-Hop
7MlDkUP0NuzVFQwnwiB94h,Christión,10966,35,['neo soul'],R&B
35VGm9iXWCCP085q0AlbY5,Al & The Coholics,90,0,['blues'],Blues
0OQh0KKuNkkeiyMYdPXjff,The Kinsey Report,1158,10,"['blues', 'blues rock', 'modern blues']",Blues
1FGzeqDPTLZwfbfxpmPAZn,Swell Maps,34346,26,"['post-punk', 'noise rock', 'proto-punk', 'new wave']",Rock
5gYimn2wODaiKOTFJlzVnn,Warlord Colossus,119993,57,"['trap metal', 'horrorcore']",Hip-Hop
18F4oSUUPMcYHSZZ2INjcf,PsoGnar,19100,30,"['dubstep', 'deathstep', 'drumstep', 'riddim']",Electronic
2HHFbP3OFh0bOgdnMYfqsc,Dele Sosimi,20075,33,"['afrobeat', 'afro tech', 'tribal house']",Electronic
5PsK4F9g4j4sSXQ8MCpbgV,Pain,8434,29,"['ska punk', 'ska']",Folk
61buXyJGplh38VDpEaB2ds,Voice,29102,41,"['soca', 'calypso', 'dancehall']",Folk
3773H00BSc3W6NpwhGVzwI,Danny!,1916,5,['underground hip hop'],Hip-Hop
07vC6cutbett8UknXnqxsu,Ulrika Spacek,32511,31,"['neo-psychedelic', 'space rock', 'krautrock']",Rock
35Xs1OZ4WgpeqUTkjkX7lf,EPIC Ensemble,4672,0,[],Classical
2kdmTOXncgNHSuYVMhdd5I,Jorge Rivera-Herrans,1077390,78,['musicals'],Classical
6bVYQ4OCT9GIoQF5W6mVTj,Armando Julián,20680,69,['musicals'],Classical
7MBMIGBbRcIAn4zZPOMNKR,So Juice,27210,49,"['hardstyle', 'hard techno', 'hardcore', 'frenchcore']",Electronic
6rLqxfVk0nnbaIgAbuQRHa,Steven Dookie,23032,65,['musicals'],Classical
2T2Wmu6gxQAj9moW2LIvDs,Steelwing,9825,11,"['speed metal', 'heavy metal', 'power metal']",Rock
5tmZlLEprz8Q802ACS5uKn,Cold Tropics,1163,9,['latin indie'],Rock
01hY8glA2FAYthZ7sZGstO,Marge Blackman,860,17,"['soca', 'calypso']",Folk
57GVEttnzshGnLYIJCFeKo,Zephyrtone,14598,27,"['indian indie', 'hindi indie']",Pop
5YOevUdPvsuldaTUf2AWSC,DJ Plankton,112,4,[],Electronic
7ladzyDVpwhv848vat5v9P,Mr. Tape,3771,28,[],Electronic
6cbOc2OzLcBuqqBnM19lkP,TakeOva,19238,28,['dancehall'],Folk
